user_id,plan_id,purchase_type,purchased_at,amount
u0010423,12-months,sale,2019-06-23 18:22:43.000000,25.85
u0026028,6-months,sale,2019-06-26 03:38:39.000000,12.84
u0020927,1-month,sale,2019-07-11 15:19:32.000000,3.38
u0014589,1-month,sale,2019-06-22 19:21:22.000000,4.3
u0013174,12-months,sale,2019-07-24 20:47:53.000000,27.43
u0007132,12-months,sale,2019-08-18 15:49:13.000000,36.32
u0008065,1-month,sale,2019-06-10 03:14:36.000000,4.3
u0001112,6-months,sale,2019-06-30 20:36:00.000000,12.92
u0017751,1-month,sale,2019-06-13 04:18:01.000000,4.3
u0022667,6-months,sale,2019-06-24 23:16:00.000000,12.81
u0025436,12-months,sale,2019-06-15 03:09:07.000000,25.85
u0025698,6-months,sale,2019-06-18 22:39:52.000000,14.25
u0004902,6-months,sale,2019-06-20 18:17:31.000000,12.9
u0005530,1-month,sale,2019-06-23 08:05:20.000000,4.3
u0017154,6-months,sale,2019-06-15 15:34:52.000000,12.92
u0008770,6-months,sale,2019-06-17 09:45:09.000000,12.06
u0018203,12-months,sale,2019-12-01 06:47:16.000000,25.5
u0026604,1-month,sale,2019-09-15 08:21:46.000000,3.89
u0000002,12-months,sale,2019-06-28 08:18:30.000000,20.35
u0003126,6-months,sale,2019-06-27 02:23:48.000000,12.83
u0020967,1-month,sale,2019-06-22 02:10:00.000000,4.63
u0020167,12-months,sale,2019-06-17 23:02:31.000000,25.98
u0009879,6-months,sale,2019-06-15 01:26:03.000000,12.92
u0022585,1-month,sale,2019-07-27 04:39:06.000000,4.33
u0023759,6-months,sale,2019-06-20 18:55:28.000000,18.07
u0025428,1-month,sale,2019-06-14 12:18:50.000000,4.31
u0019964,6-months,sale,2019-06-23 17:48:06.000000,12.92
u0012423,1-month,sale,2019-06-15 00:51:57.000000,4.63
u0017551,1-month,sale,2019-06-25 19:55:11.000000,3.89
u0020983,12-months,sale,2019-06-18 23:35:38.000000,26.78
u0010391,12-months,sale,2019-06-09 14:45:20.000000,25.85
u0005532,6-months,sale,2019-06-23 13:27:59.000000,17.02
u0006114,6-months,sale,2019-06-25 21:23:29.000000,12.81
u0014477,6-months,sale,2019-06-22 15:36:39.000000,12.92
u0025688,1-month,sale,2019-06-11 12:57:18.000000,5.39
u0023105,12-months,sale,2019-06-10 23:53:33.000000,35.76
u0025418,1-month,sale,2019-06-12 04:17:35.000000,4.29
u0026677,1-month,sale,2019-06-21 19:08:43.000000,3.39
u0006997,6-months,sale,2019-06-18 12:10:07.000000,13.04
u0000050,1-month,sale,2019-06-09 08:54:26.000000,4.3
u0011384,12-months,sale,2019-06-11 13:29:57.000000,20.48
u0004326,6-months,sale,2019-06-23 01:50:09.000000,12.92
u0022623,6-months,sale,2019-06-17 17:30:18.000000,12.99
u0012409,1-month,sale,2019-06-19 09:50:30.000000,4.33
u0008805,1-month,sale,2019-07-22 22:25:52.000000,4.33
u0004424,1-month,sale,2019-06-12 22:50:18.000000,4.29
u0000207,1-month,sale,2019-06-09 06:40:54.000000,4.63
u0000113,1-month,sale,2019-06-12 10:26:37.000000,4.29
u0005410,1-month,sale,2019-06-24 02:21:55.000000,4.26
u0001673,6-months,sale,2019-06-26 13:08:06.000000,12.84
u0017746,6-months,sale,2019-06-17 06:30:01.000000,12.99
u0020029,12-months,sale,2019-06-09 07:19:50.000000,23.93
u0017590,6-months,sale,2019-06-29 17:06:33.000000,12.92
u0024274,6-months,sale,2019-07-27 00:52:08.000000,21.2
u0015971,6-months,sale,2019-06-18 15:03:57.000000,11.77
u0016044,6-months,sale,2019-07-20 12:41:23.000000,13.01
u0007201,1-month,sale,2019-06-14 18:26:26.000000,4.31
u0015656,6-months,sale,2019-07-08 03:28:39.000000,11.86
u0010459,6-months,trial,2019-06-19 19:45:15.000000,
u0008051,6-months,trial,2019-06-08 05:09:29.000000,
u0000577,6-months,trial,2019-06-11 16:43:08.000000,
u0015980,6-months,trial,2019-06-12 18:35:24.000000,
u0003648,6-months,trial,2019-06-09 07:42:31.000000,
u0013945,6-months,trial,2019-06-22 02:25:16.000000,
u0003087,6-months,trial,2019-06-14 16:10:17.000000,
u0010348,6-months,trial,2019-06-19 21:39:24.000000,
u0020071,6-months,trial,2019-06-20 00:22:08.000000,
u0004838,6-months,trial,2019-06-10 03:56:21.000000,
u0001146,6-months,trial,2019-06-08 02:19:32.000000,
u0002247,6-months,trial,2019-06-16 01:51:28.000000,
u0020080,6-months,trial,2019-06-21 11:57:23.000000,
u0008039,6-months,trial,2019-06-24 01:54:29.000000,
u0027489,6-months,trial,2019-06-19 19:23:20.000000,
u0008698,6-months,trial,2019-06-20 13:59:45.000000,
u0022648,6-months,trial,2019-06-15 01:16:50.000000,
u0026989,6-months,trial,2019-06-16 03:42:35.000000,
u0025533,6-months,trial,2019-06-22 07:56:00.000000,
u0006438,6-months,trial,2019-06-16 19:31:04.000000,
u0006180,6-months,trial,2019-06-22 15:04:37.000000,
u0007475,6-months,trial,2019-06-17 16:49:15.000000,
u0020530,6-months,trial,2019-06-16 00:51:49.000000,
u0006547,6-months,trial,2019-06-10 09:00:39.000000,
u0011013,6-months,trial,2019-06-17 15:10:54.000000,
u0017822,6-months,trial,2019-06-18 18:17:50.000000,
u0011128,6-months,trial,2019-06-16 05:01:16.000000,
u0017397,6-months,trial,2019-06-23 01:55:51.000000,
u0020263,6-months,trial,2019-06-11 22:22:43.000000,
u0019818,6-months,trial,2019-06-07 18:17:23.000000,
u0005867,6-months,trial,2019-06-18 02:10:25.000000,
u0020481,6-months,trial,2019-06-07 15:23:37.000000,
u0016770,1-month,sale,2019-07-20 15:10:56.000000,4.33
u0014779,6-months,sale,2019-06-26 02:49:38.000000,12.84
u0016117,6-months,sale,2019-06-22 06:51:52.000000,12.92
u0002767,12-months,sale,2019-06-10 02:14:53.000000,25.83
u0024543,6-months,sale,2019-06-17 00:18:39.000000,12.99
u0016811,1-month,sale,2019-06-16 12:45:32.000000,4.3
u0024569,6-months,sale,2019-06-20 23:17:47.000000,12.9
u0011627,1-month,sale,2019-06-25 00:55:18.000000,4.53
u0024545,6-months,sale,2019-06-17 13:23:44.000000,11.86
u0015403,1-month,sale,2019-06-22 12:01:00.000000,4.01
u0006547,6-months,sale,2019-06-17 09:00:39.000000,14.87
u0022320,1-month,sale,2019-06-10 23:49:43.000000,4.3
u0019862,6-months,sale,2019-06-21 19:18:45.000000,11.56
u0011758,6-months,sale,2019-06-16 03:23:58.000000,12.92
u0016783,1-month,sale,2019-06-15 14:38:01.000000,3.41
u0012149,1-month,sale,2019-06-16 14:30:45.000000,4.05
u0023417,1-month,sale,2019-06-07 13:27:39.000000,4.31
u0027878,6-months,sale,2019-06-29 11:25:52.000000,12.16
u0014246,1-month,sale,2019-06-07 00:43:30.000000,4.31
u0017822,6-months,sale,2019-06-25 18:17:50.000000,12.81
u0020490,6-months,sale,2019-06-15 19:46:52.000000,12.92
u0011128,6-months,sale,2019-06-29 05:10:57.000000,14.95
u0024954,1-month,sale,2019-06-10 19:25:58.000000,4.3
u0015295,1-month,sale,2019-06-16 00:00:08.000000,4.3
u0011051,12-months,sale,2019-07-04 15:41:42.000000,25.86
u0005826,1-month,sale,2019-06-25 13:34:29.000000,3.39
u0009214,12-months,sale,2019-11-29 17:38:54.000000,25.75
u0017434,12-months,sale,2019-06-16 21:30:42.000000,25.85
u0023712,1-month,sale,2019-06-25 23:45:07.000000,4.27
u0005756,12-months,sale,2019-06-19 02:19:21.000000,26.05
u0026930,1-month,sale,2019-06-24 03:50:25.000000,4.26
u0012221,1-month,sale,2019-06-10 04:51:31.000000,4.3
u0015363,6-months,sale,2019-06-14 08:28:24.000000,11.6
u0025737,1-month,sale,2019-06-10 19:18:31.000000,4.01
u0003911,12-months,sale,2019-06-15 18:03:22.000000,20.47
u0007651,1-month,sale,2019-08-08 09:22:55.000000,4.57
u0002542,1-month,sale,2019-06-24 08:00:07.000000,4.26
u0017930,6-months,sale,2019-06-24 15:11:56.000000,12.81
u0009536,12-months,sale,2019-09-07 03:33:15.000000,26.53
u0002153,12-months,sale,2019-11-29 09:08:35.000000,17.09
u0011659,12-months,sale,2019-06-10 12:58:57.000000,25.83
u0020487,1-month,sale,2019-06-13 11:45:09.000000,4.61
u0023469,6-months,sale,2019-06-17 02:20:21.000000,18.19
u0002453,12-months,sale,2019-07-03 16:29:59.000000,25.85
u0021732,6-months,sale,2019-06-17 17:11:50.000000,12.99
u0020481,6-months,sale,2019-06-14 15:23:37.000000,12.95
u0020458,1-month,sale,2019-08-13 11:50:17.000000,4.05
u0020440,12-months,sale,2019-06-19 11:17:07.000000,26.05
u0015342,6-months,sale,2019-06-29 20:53:24.000000,12.92
u0023523,1-month,sale,2019-06-06 16:04:42.000000,4.31
u0026926,6-months,sale,2019-07-06 02:13:14.000000,12.16
u0010233,6-months,sale,2019-06-30 03:20:41.000000,12.92
u0004080,12-months,sale,2019-09-26 12:40:08.000000,27.09
u0012206,1-month,sale,2019-06-07 17:55:13.000000,4.01
u0028577,1-month,sale,2019-06-20 19:35:46.000000,4.3
u0023443,6-months,sale,2019-06-18 20:13:35.000000,13.04
u0011731,12-months,sale,2019-06-22 22:56:12.000000,25.85
u0026879,1-month,sale,2019-06-15 15:54:55.000000,3.89
u0007635,6-months,sale,2019-06-30 05:05:20.000000,14.95
u0025877,12-months,sale,2019-07-10 05:34:04.000000,27.01
u0014780,6-months,sale,2019-06-26 07:32:07.000000,12.06
u0016132,6-months,sale,2019-06-24 10:18:26.000000,12.06
u0011940,6-months,trial,2019-06-09 07:37:23.000000,
u0008848,6-months,trial,2019-06-23 11:01:17.000000,
u0022667,6-months,trial,2019-06-17 23:16:00.000000,
u0015983,6-months,trial,2019-06-13 01:05:16.000000,
u0003126,6-months,trial,2019-06-20 02:23:48.000000,
u0003505,6-months,trial,2019-06-23 07:15:14.000000,
u0009557,6-months,trial,2019-06-18 04:04:25.000000,
u0022627,6-months,trial,2019-06-11 03:12:55.000000,
u0017532,6-months,trial,2019-06-13 07:46:52.000000,
u0014477,6-months,trial,2019-06-15 15:36:39.000000,
u0023313,6-months,trial,2019-06-17 10:47:30.000000,
u0000661,6-months,trial,2019-06-16 14:04:04.000000,
u0017601,6-months,trial,2019-06-08 11:29:21.000000,
u0028282,6-months,trial,2019-06-08 00:55:35.000000,
u0004700,6-months,trial,2019-06-17 15:19:34.000000,
u0005320,6-months,trial,2019-06-16 02:06:10.000000,
u0022018,6-months,trial,2019-06-13 19:50:40.000000,
u0027170,6-months,trial,2019-06-13 14:39:51.000000,
u0018750,6-months,trial,2019-06-16 06:34:17.000000,
u0014054,6-months,trial,2019-06-17 02:31:03.000000,
u0010193,6-months,trial,2019-06-16 22:01:04.000000,
u0019862,6-months,trial,2019-06-14 19:18:45.000000,
u0025984,6-months,trial,2019-06-18 17:35:29.000000,
u0022267,6-months,trial,2019-06-17 12:39:55.000000,
u0019403,6-months,trial,2019-06-21 04:25:40.000000,
u0005845,6-months,trial,2019-06-15 05:50:56.000000,
u0009565,6-months,trial,2019-06-19 14:05:50.000000,
u0003268,6-months,trial,2019-06-19 10:11:23.000000,
u0012819,6-months,trial,2019-06-18 22:07:05.000000,
u0021262,6-months,trial,2019-06-18 20:41:38.000000,
u0007830,6-months,trial,2019-06-18 16:29:56.000000,
u0024052,6-months,trial,2019-06-15 02:43:08.000000,
u0028454,6-months,trial,2019-06-10 01:15:26.000000,
u0019351,6-months,trial,2019-06-22 16:53:00.000000,
u0022270,6-months,trial,2019-06-17 22:30:52.000000,
u0019737,6-months,trial,2019-06-13 19:34:15.000000,
u0016132,6-months,trial,2019-06-17 10:18:26.000000,
u0009666,6-months,trial,2019-06-18 04:24:01.000000,
u0004980,6-months,trial,2019-06-15 18:39:05.000000,
u0015024,6-months,trial,2019-06-09 06:43:39.000000,
u0001201,6-months,trial,2019-06-10 19:10:22.000000,
u0015761,6-months,trial,2019-06-16 14:50:38.000000,
u0019431,6-months,trial,2019-06-08 02:45:41.000000,
u0016241,6-months,trial,2019-06-21 01:50:51.000000,
u0021816,6-months,trial,2019-06-16 19:02:41.000000,
u0007632,6-months,trial,2019-06-07 02:49:23.000000,
u0009005,6-months,trial,2019-06-09 06:22:25.000000,
u0021290,6-months,trial,2019-06-23 08:17:49.000000,
u0025345,6-months,trial,2019-06-15 21:12:08.000000,
u0021353,6-months,trial,2019-06-20 10:16:09.000000,
u0000940,6-months,trial,2019-06-14 17:41:31.000000,
u0009785,6-months,trial,2019-06-20 15:50:03.000000,
u0025055,6-months,trial,2019-06-14 17:14:29.000000,
u0010517,6-months,trial,2019-06-19 01:36:43.000000,
u0001287,6-months,trial,2019-06-07 00:41:18.000000,
u0026324,6-months,trial,2019-06-21 23:02:15.000000,
u0018981,6-months,trial,2019-06-10 19:13:39.000000,
u0021813,6-months,trial,2019-06-16 10:20:03.000000,
u0007615,6-months,trial,2019-06-24 08:03:00.000000,
u0021195,6-months,trial,2019-06-07 20:27:15.000000,
u0023284,6-months,trial,2019-06-12 19:44:23.000000,
u0023443,6-months,trial,2019-06-11 20:13:35.000000,
u0023331,6-months,trial,2019-06-20 05:38:08.000000,
u0016408,6-months,trial,2019-06-16 03:26:10.000000,
u0019618,6-months,trial,2019-06-20 22:22:44.000000,
u0007572,6-months,trial,2019-06-15 12:26:51.000000,
u0022910,6-months,trial,2019-06-13 15:37:19.000000,
u0007442,6-months,trial,2019-06-22 02:07:02.000000,
u0028049,6-months,trial,2019-06-22 00:25:06.000000,
u0010174,6-months,trial,2019-06-13 09:03:42.000000,
u0011218,6-months,trial,2019-06-15 11:50:12.000000,
u0026400,6-months,trial,2019-06-16 18:23:19.000000,
u0020251,6-months,trial,2019-06-10 05:12:13.000000,
u0021904,6-months,trial,2019-06-12 01:31:04.000000,
u0009714,12-months,sale,2019-06-12 02:30:06.000000,25.78
u0028769,6-months,sale,2019-06-22 11:48:14.000000,14.95
u0014059,1-month,sale,2019-06-17 22:58:29.000000,4.32
u0025582,1-month,sale,2019-07-08 20:53:47.000000,3.39
u0016329,1-month,sale,2019-06-19 17:58:06.000000,4.33
u0001787,1-month,sale,2019-06-17 06:11:06.000000,4.32
u0010814,1-month,sale,2019-06-23 22:57:40.000000,4.05
u0007897,1-month,sale,2019-06-11 19:55:50.000000,3.41
u0000871,6-months,sale,2019-06-19 05:49:38.000000,11.61
u0010935,1-month,sale,2019-06-20 17:04:55.000000,4.01
u0012312,6-months,sale,2019-06-13 15:47:25.000000,12.92
u0027619,12-months,sale,2019-06-14 05:54:41.000000,25.91
u0028005,1-month,sale,2019-06-30 23:06:47.000000,4.3
u0010871,12-months,sale,2019-09-16 08:23:33.000000,26.46
u0028817,6-months,sale,2019-06-30 08:47:31.000000,11.6
u0000931,1-month,sale,2019-06-14 06:49:55.000000,4.31
u0011828,1-month,sale,2019-06-09 10:56:59.000000,4.3
u0012885,1-month,sale,2019-06-08 22:16:26.000000,4.3
u0027717,1-month,sale,2019-06-24 20:14:26.000000,4.26
u0024713,1-month,sale,2019-06-11 01:45:52.000000,4.05
u0009736,12-months,sale,2019-06-16 15:11:41.000000,23.93
u0007862,1-month,sale,2019-12-08 09:38:53.000000,4.38
u0028002,6-months,sale,2019-06-21 16:54:57.000000,12.89
u0001920,12-months,sale,2019-06-16 20:16:19.000000,25.85
u0028674,6-months,sale,2019-06-26 17:55:28.000000,12.84
u0001314,12-months,sale,2019-06-10 14:43:31.000000,25.83
u0027657,12-months,sale,2019-10-16 21:06:38.000000,26.48
u0011808,1-month,sale,2019-06-24 12:05:16.000000,4.26
u0024039,12-months,sale,2019-06-20 00:44:47.000000,25.82
u0025575,1-month,sale,2019-07-06 14:07:04.000000,4.33
u0007479,1-month,sale,2019-06-20 16:54:32.000000,4.3
u0017976,6-months,sale,2019-07-01 04:53:39.000000,12.86
u0016689,12-months,sale,2019-06-21 08:48:35.000000,26.72
u0011925,1-month,sale,2019-06-07 03:20:50.000000,4.31
u0018074,6-months,sale,2019-06-29 20:06:42.000000,12.92
u0006384,12-months,sale,2019-06-08 17:06:06.000000,24.32
u0012986,1-month,sale,2019-06-24 06:10:14.000000,4.26
u0007834,12-months,sale,2019-08-24 18:51:05.000000,26.24
u0024977,1-month,sale,2019-06-15 15:57:00.000000,3.89
u0021811,1-month,sale,2019-06-23 02:50:38.000000,4.3
u0019207,6-months,sale,2019-06-29 01:50:30.000000,12.92
u0016631,6-months,sale,2019-06-18 12:00:11.000000,12.06
u0001914,1-month,sale,2019-06-15 19:49:17.000000,4.05
u0001999,1-month,sale,2019-06-20 07:31:15.000000,4.01
u0005328,1-month,sale,2019-06-18 19:46:46.000000,4.34
u0012890,6-months,sale,2019-06-15 19:19:06.000000,12.92
u0001766,1-month,sale,2019-06-23 11:05:41.000000,4.63
u0005708,1-month,sale,2019-06-18 19:01:24.000000,3.89
u0004518,1-month,sale,2019-06-23 15:57:47.000000,3.89
u0009019,12-months,sale,2019-06-20 16:58:07.000000,25.82
u0028632,1-month,sale,2019-06-18 12:40:45.000000,4.34
u0019146,1-month,sale,2019-06-14 20:52:14.000000,4.31
u0016664,6-months,sale,2019-06-17 04:58:03.000000,18.19
u0014043,12-months,sale,2019-06-15 11:05:26.000000,26.92
u0001360,1-month,sale,2019-06-11 06:15:01.000000,4.29
u0018736,12-months,sale,2019-06-13 21:38:03.000000,25.86
u0009957,12-months,sale,2019-07-03 19:03:10.000000,25.85
u0010440,12-months,sale,2019-06-20 13:26:36.000000,25.82
u0018146,1-month,sale,2019-06-06 12:12:46.000000,4.31
u0018202,1-month,sale,2019-06-15 18:45:42.000000,4.05
u0015988,6-months,sale,2019-06-21 00:53:01.000000,12.89
u0017576,6-months,sale,2019-06-27 08:18:47.000000,11.56
u0026792,1-month,sale,2019-07-29 21:24:29.000000,3.98
u0004612,1-month,sale,2019-08-30 17:38:58.000000,3.95
u0020027,12-months,sale,2019-07-11 20:19:51.000000,23.93
u0028509,6-months,sale,2019-06-25 20:55:17.000000,12.81
u0012053,1-month,sale,2019-06-19 02:09:54.000000,4.33
u0007254,12-months,sale,2019-06-16 09:30:25.000000,25.85
u0022008,12-months,sale,2019-06-22 22:58:51.000000,25.85
u0017571,12-months,sale,2019-06-19 17:33:16.000000,20.49
u0020116,1-month,sale,2019-06-22 14:13:06.000000,3.41
u0004371,6-months,sale,2019-06-29 19:00:16.000000,12.92
u0000692,1-month,sale,2019-06-17 22:58:29.000000,4.32
u0007309,12-months,sale,2019-06-18 13:03:40.000000,26.09
